price,surname,firstName,team,position,points2023,played2023,avg2023
25000,ADAMSON,Casey,Magpies,WD/C,16,1,16
90000,AIKEN-GEORGE,Romelda,Swifts,GS,1043,11,94.82
75000,ALLEN,Nyah,Magpies,GA,,,
70000,ANSTISS,Jess,Fever,WD/C,788,10,78.8
75000,ARYANG,Sunday,Fever,GD/WD,948,11,86.18
120000,AUSTIN,Kiera,Vixens,WA/GA,1254,11,114
35000,AUSTIN,Lucy,Thunderbirds,GS,322,9,35.78
105000,BAKEWELL-DORAN,Ruby,Firebirds,GD/WD,1146,11,104.18
30000,BELL,Charlie,Lightning,GS,88,5,17.6
30000,BLACK,Ava,Lightning,WD/C,172,5,34.4
50000,BORGER,Kim,Vixens,GA/GS,29,2,14.5
80000,BRANDLEY,April,GIANTS,GD,904,11,82.18
75000,BRAZILL,Ash,Magpies,WD/C,784,10,78.4
105000,BROWNE,Kelsey,Magpies,WA,1119,11,101.73
115000,BRUCE,Courtney,Fever,GK/GD,1244,11,113.09
75000,BUTLER,Nat,Fever,GA,74,1,74
70000,CARDWELL,Eleanor,Thunderbirds,GA/GS,989,11,89.91
70000,CASSIDY,Mahalia,Lightning,WD/C,824,11,74.91
30000,COFFEY,Gabby,Vixens,GD,15,1,15
30000,COSH,Emma,Fever,WA/GA,120,4,30
25000,CRANSBERG,Jordan,Fever,WD/C,144,2,72
30000,DAVIES,Taylah,GIANTS,WA,,,
65000,DEHANEY,Kadie-Ann,Lightning,GK,1023,11,93
75000,DUNKLEY,Lara,Firebirds,WA,953,11,86.64
55000,DWAN,Tippah,Thunderbirds,GA,683,10,68.3
95000,DWYER,Sophie,GIANTS,GA/GS,1092,11,99.27
55000,EDDY,Kate,Vixens,GD/WD,593,10,59.3
35000,ELLIS,Rudi,Fever,GK,171,5,34.2
40000,ERVIN,Ashleigh,Lightning,GK,333,8,41.63
45000,FAWNS,Sophie,Swifts,GA/GS,245,7,35
135000,FOWLER,Jhaniele,Fever,GS,1547,11,140.64
45000,FRASER,Tayla,Swifts,WD/C,466,10,46.6
55000,GARBIN,Sophie,Magpies,GA/GS,699,11,63.55
60000,GARDNER,Macy,Firebirds,C/WA,400,6,66.67
85000,GARRETT,Matilda,Thunderbirds,GD,929,11,84.45
125000,GLASGOW,Sasha,Fever,GA/GS,1303,10,130.3
30000,GORMAN-BROWN,Lili,Swifts,C/WA,27,1,27
95000,HADLEY,Paige,Swifts,C/WA,1045,11,95
75000,HARTEN,Jo,GIANTS,GA/GS,617,8,77.13
110000,HAY,Maddie,GIANTS,WA,1049,10,104.9
40000,HINCHLIFFE,Maddie,Magpies,WD/C,181,5,36.2
90000,HORJUS,Georgie,Thunderbirds,WA/GA,1000,11,90.91
155000,HOUSBY,Helen,Swifts,GA/GS,1586,11,144.18
25000,IONGI,Kelea,Swifts,GK/GD,44,2,22
35000,JENNER,Kim,Fever,GK/GD,422,10,42.2
85000,JOVIC,Molly,Magpies,C,845,11,76.82
90000,KAMO,Remi,Firebirds,GK/GD,990,11,90
100000,KLAU,Sarah,Swifts,GK/GD,1077,11,97.91
90000,KOENEN,Cara,Lightning,GA/GS,1144,11,104
110000,KUMWENDA,Mwai,Vixens,GA/GS,1203,11,109.36
60000,LETHERBARROW,Matisse,GIANTS,GA/GS,360,5,72
45000,LEWIS,Olivia,Vixens,GK,438,9,48.67
85000,MANNIX,Emily,Vixens,GK,686,9,76.22
40000,MCDONELL,Matilda,GIANTS,GK,378,9,42
95000,MENTOR,Geva,Magpies,GK,1092,11,99.27
25000,MI MI,Leesa,Firebirds,C/WA,114,2,57
45000,MILLER,Annie,Lightning,C/WA,674,11,61.27
65000,MOLONEY,Kate,Vixens,WD/C,771,11,70.09
70000,MOORE,Emily,Firebirds,GA/GS,723,10,72.3
70000,MOORE,Lauren,GIANTS,GD/WD,563,9,62.56
50000,MUNDY,Hannah,Vixens,C/WA,470,8,58.75
35000,NANKIVELL,Maisie,Thunderbirds,C/WA,249,7,35.57
115000,NELSON,Shimona,Magpies,GS,1295,11,117.73
35000,NEWTON,Jacqui,Magpies,GK/GD,166,5,33.2
45000,O'SHANNASSY,Teigan,Swifts,GK/GD,330,6,55
115000,PARMENTER,Amy,GIANTS,WD/C,1221,11,111
55000,PETTY,Hannah,Thunderbirds,WD/C,411,8,51.38
90000,PRETORIUS,Karla,Lightning,GD,1113,11,101.18
105000,PRICE,Jamie-Lee,GIANTS,WD/C,1249,11,113.55
105000,PROUD,Maddy,Swifts,C/WA,1246,11,113.27
70000,RAVAILLION,Kim,Firebirds,C,828,11,75.27
80000,SCHERIAN,Laura,Lightning,C/WA,893,11,81.18
65000,SIMMONS,Verity,Fever,C/WA,750,10,75
50000,SIMPSON,Gabi,Firebirds,WD,544,10,54.4
30000,SINGLETON,Kelly,Magpies,GA,169,8,21.13
30000,SLIGAR,Amy,GIANTS,WD/C,100,3,33.33
35000,SMITH,Allie,Swifts,GD/WD,284,7,40.57
160000,STERLING,Shamera,Thunderbirds,GK,1835,11,166.82
45000,STOWER,Mia,Firebirds,GA,570,10,57
135000,TEAGUE-NEELD,Alice,Fever,WA/GA,1575,11,143.18
85000,TURNER,Maddy,Swifts,GD/WD,847,11,77
30000,UNIE,Ashlee,Firebirds,GD/WD,169,4,42.25
30000,VEVE,Hulita,Firebirds,WD/C,125,3,41.67
95000,WALLAM,Donnell,Firebirds,GS,1199,11,109
105000,WARD,Jodi-Ann,Magpies,GD/WD,1266,11,115.09
120000,WATSON,Liz,Vixens,C/WA,1267,11,115.18
105000,WESTON,Jo,Vixens,GD/WD,991,10,99.1
55000,WILLIAMS,Tayla,Thunderbirds,C/WA,818,11,74.36
100000,WILSON,Latanya,Thunderbirds,GD/WD,1183,11,107.55
125000,WOOD,Steph,Lightning,WA/GA,1485,11,135
