price,surname,firstName,team,position,points2023,played2023,avg2023
150000,STERLING,Shamera,Thunderbirds,GK,718,4,179.5
135000,FOWLER,Jhaniele,Fever,GS,568,4,142
135000,TEAGUE-NEELD,Alice,Fever,WA/GA,621,4,155.25
130000,BRUCE,Courtney,Fever,GK/GD,480,4,120
130000,PROUD,Maddy,Swifts,C/WA,478,4,119.5
125000,GLASGOW,Sasha,Fever,GA/GS,569,4,142.25
115000,HOUSBY,Helen,Swifts,GA/GS,509,4,127.25
115000,WATSON,Liz,Vixens,C/WA,385,4,96.25
115000,WOOD,Steph,Lightning,WA/GA,566,4,141.5
105000,BROWNE,Kelsey,Magpies,WA,376,4,94
105000,KOENEN,Cara,Lightning,GA/GS,499,4,124.75
105000,NELSON,Shimona,Magpies,GS,480,4,120
105000,PRICE,Jamie-Lee,GIANTS,WD/C,472,4,118
105000,WARD,Jodi-Ann,Magpies,GD/WD,543,4,135.75
105000,WILSON,Latanya,Thunderbirds,GD/WD,431,4,107.75
100000,AUSTIN,Kiera,Vixens,WA/GA,435,4,108.75
100000,CARDWELL,Eleanor,Thunderbirds,GA/GS,390,4,97.5
100000,DWYER,Sophie,GIANTS,GA/GS,368,4,92
100000,KUMWENDA,Mwai,Vixens,GA/GS,443,4,110.75
100000,PRETORIUS,Karla,Lightning,GD,392,4,98
100000,WALLAM,Donnell,Firebirds,GS,416,4,104
100000,WESTON,Jo,Vixens,GD/WD,303,3,101
95000,HAY,Maddie,GIANTS,WA,291,3,97
95000,KLAU,Sarah,Swifts,GK/GD,363,4,90.75
95000,PARMENTER,Amy,GIANTS,WD/C,388,4,97
90000,BAKEWELL-DORAN,Ruby,Firebirds,GD/WD,399,4,99.75
90000,DEHANEY,Kadie-Ann,Lightning,GK,526,4,131.5
90000,DUNKLEY,Lara,Firebirds,WA,346,4,86.5
90000,HARTEN,Jo,GIANTS,GA/GS,231,3,77
90000,WALLACE,Sam,Swifts,GS,,,
85000,HADLEY,Paige,Swifts,C/WA,356,4,89
85000,WILLIAMS,Tayla,Thunderbirds,C/WA,413,4,103.25
80000,ANSTISS,Jess,Fever,WD/C,349,4,87.25
80000,ARYANG,Sunday,Fever,GD/WD,338,4,84.5
80000,RAVAILLION,Kim,Firebirds,C,314,4,78.5
75000,AIKEN-GEORGE,Romelda,Swifts,GS,349,4,87.25
75000,ALLEN,Nyah,Magpies,GA,,,
75000,BRAZILL,Ash,Magpies,WD/C,294,4,73.5
75000,GARBIN,Sophie,Magpies,GA/GS,374,4,93.5
75000,MOLONEY,Kate,Vixens,WD/C,301,4,75.25
75000,PETTY,Hannah,Thunderbirds,WD/C,69,2,34.5
75000,SIMPSON,Gabi,Firebirds,WD,273,4,68.25
70000,BRANDLEY,April,GIANTS,GD,294,4,73.5
70000,CASSIDY,Mahalia,Lightning,WD/C,279,4,69.75
70000,GARRETT,Matilda,Thunderbirds,GD,315,4,78.75
70000,HORJUS,Georgie,Thunderbirds,WA/GA,253,4,63.25
70000,MANNIX,Emily,Vixens,GK,240,4,60
70000,MENTOR,Geva,Magpies,GK,352,4,88
70000,SIMMONS,Verity,Fever,C/WA,306,4,76.5
65000,AUSTIN,Lucy,Thunderbirds,GS,149,3,49.67
65000,BATCHELDOR,Reilley,Lightning,GA/GS,,,
65000,TURNER,Maddy,Swifts,GD/WD,212,4,53
60000,DWAN,Tippah,Thunderbirds,GA,276,4,69
60000,EDDY,Kate,Vixens,GD/WD,227,4,56.75
60000,HINCHLIFFE,Maddie,Magpies,WD/C,66,2,33
60000,JOVIC,Molly,Magpies,C,231,4,57.75
60000,SCHERIAN,Laura,Lightning,C/WA,256,4,64
55000,KAMO,Remi,Firebirds,GK/GD,365,4,91.25
55000,MUNDY,Hannah,Vixens,C/WA,205,3,68.33
55000,SAMASON,Rahni,Vixens,GA/GS,,,
50000,BORGER,Kim,Vixens,GA/GS,,,
50000,MCDONELL,Matilda,GIANTS,GK,155,4,38.75
50000,NANKIVELL,Maisie,Thunderbirds,C/WA,95,2,47.5
50000,NEWTON,Jacqui,Magpies,GK/GD,18,1,18
50000,STOWER,Mia,Firebirds,GA,236,4,59
45000,SMITH,Allie,Swifts,GD/WD,197,4,49.25
40000,COSH,Emma,Fever,WA/GA,26,1,26
40000,JENNER,Kim,Fever,GK/GD,194,4,48.5
40000,LEWIS,Olivia,Vixens,GK,111,3,37
40000,MILLER,Annie,Lightning,C/WA,215,4,53.75
40000,O'SHANNASSY,Teigan,Swifts,GK/GD,147,3,49
35000,FRASER,Tayla,Swifts,WD/C,101,3,33.67
35000,GARDNER,Macy,Firebirds,C/WA,150,3,50
35000,LETHERBARROW,Matisse,GIANTS,GA/GS,75,1,75
30000,COFFEY,Gabby,Vixens,GD,15,1,15
30000,EAGLAND,Shannon,Lightning,GD/WD,37,2,18.5
30000,ELLIS,Rudi,Fever,GK,43,2,21.5
30000,FAWNS,Sophie,Swifts,GA/GS,30,3,10
30000,MOORE,Emily,Firebirds,GA/GS,114,3,38
30000,MOORE,Lauren,GIANTS,GD/WD,77,3,25.67
30000,SINGLETON,Kelly,Magpies,GA,30,1,30
30000,SLIGAR,Amy,GIANTS,WD/C,52,1,52
30000,UNIE,Ashlee,Firebirds,GD/WD,90,2,45
25000,BELL,Charlie,Lightning,GS,33,2,16.5
25000,BLACK,Ava,Lightning,WD/C,25,1,25
25000,ERVIN,Ashleigh,Lightning,GK,33,2,16.5
