price,surname,firstName,team,position,points2023,played2023,avg2023
25000,ADAMSON,Casey,Magpies,WD/C,16,1,16
105000,AIKEN-GEORGE,Romelda,Swifts,GS,794,8,99.25
75000,ALLEN,Nyah,Magpies,GA ,,,
75000,ANSTISS,Jess,Fever,WD/C,656,8,82
80000,ARYANG,Sunday,Fever,GD/WD,694,8,86.75
105000,AUSTIN,Kiera,Vixens,WA/GA,871,8,108.88
40000,AUSTIN,Lucy,Thunderbirds,GS,212,6,35.33
95000,BAKEWELL-DORAN,Ruby,Firebirds,GD/WD,838,8,104.75
30000,BELL,Charlie,Lightning,GS,47,2,23.5
25000,BLACK,Ava,Lightning,WD/C,76,2,38
50000,BORGER,Kim,Vixens,GA/GS,16,1,16
70000,BRANDLEY,April,GIANTS,GD,616,8,77
75000,BRAZILL,Ash,Magpies,WD/C,519,7,74.14
95000,BROWNE,Kelsey,Magpies,WA,809,8,101.13
100000,BRUCE,Courtney,Fever,GK/GD,839,8,104.88
95000,CARDWELL,Eleanor,Thunderbirds,GA/GS,785,8,98.13
65000,CASSIDY,Mahalia,Lightning,WD/C,578,8,72.25
30000,COFFEY,Gabby,Vixens,GD,15,1,15
40000,COSH,Emma,Fever,WA/GA,38,2,19
30000,DAVIES,Taylah,GIANTS,WA ,,,
90000,DEHANEY,Kadie-Ann,Lightning,GK,884,8,110.5
80000,DUNKLEY,Lara,Firebirds,WA,731,8,91.38
70000,DWAN,Tippah,Thunderbirds,GA,609,8,76.13
100000,DWYER,Sophie,GIANTS,GA/GS,777,8,97.13
70000,EDDY,Kate,Vixens,GD/WD,474,7,67.71
35000,ELLIS,Rudi,Fever,GK,171,5,34.2
30000,ERVIN,Ashleigh,Lightning,GK,156,5,31.2
30000,FAWNS,Sophie,Swifts,GA/GS,69,5,13.8
140000,FOWLER,Jhaniele,Fever,GS,1167,8,145.88
35000,FRASER,Tayla,Swifts,WD/C,264,7,37.71
40000,GARBIN,Sophie,Magpies,GA/GS,507,8,63.38
60000,GARDNER,Macy,Firebirds,C/WA,400,6,66.67
75000,GARRETT,Matilda,Thunderbirds,GD,637,8,79.63
115000,GLASGOW,Sasha,Fever,GA/GS,1004,8,125.5
80000,HADLEY,Paige,Swifts,C/WA,703,8,87.88
75000,HARTEN,Jo,GIANTS,GA/GS,557,7,79.57
100000,HAY,Maddie,GIANTS,WA,720,7,102.86
45000,HINCHLIFFE,Maddie,Magpies,WD/C,156,4,39
100000,HORJUS,Georgie,Thunderbirds,WA/GA,732,8,91.5
120000,HOUSBY,Helen,Swifts,GA/GS,1035,8,129.38
50000,JENNER,Kim,Fever,GK/GD,339,7,48.43
80000,JOVIC,Molly,Magpies,C,565,8,70.63
70000,KAMO,Remi,Firebirds,GK/GD,652,8,81.5
85000,KLAU,Sarah,Swifts,GK/GD,750,8,93.75
100000,KOENEN,Cara,Lightning,GA/GS,871,8,108.88
110000,KUMWENDA,Mwai,Vixens,GA/GS,906,8,113.25
35000,LETHERBARROW,Matisse,GIANTS,GA/GS,148,2,74
60000,LEWIS,Olivia,Vixens,GK,385,7,55
65000,MANNIX,Emily,Vixens,GK,379,6,63.17
55000,MCDONELL,Matilda,GIANTS,GK,338,7,48.29
105000,MENTOR,Geva,Magpies,GK,837,8,104.63
70000,MILLER,Annie,Lightning,C/WA,555,8,69.38
55000,MOLONEY,Kate,Vixens,WD/C,550,8,68.75
65000,MOORE,Emily,Firebirds,GA/GS,488,7,69.71
55000,MOORE,Lauren,GIANTS,GD/WD,346,6,57.67
55000,MUNDY,Hannah,Vixens,C/WA,302,5,60.4
40000,NANKIVELL,Maisie,Thunderbirds,C/WA,139,4,34.75
100000,NELSON,Shimona,Magpies,GS,913,8,114.13
40000,NEWTON,Jacqui,Magpies,GK/GD,136,4,34
40000,O'SHANNASSY,Teigan,Swifts,GK/GD,270,5,54
100000,PARMENTER,Amy,GIANTS,WD/C,824,8,103
50000,PETTY,Hannah,Thunderbirds,WD/C,287,6,47.83
105000,PRETORIUS,Karla,Lightning,GD,831,8,103.88
100000,PRICE,Jamie-Lee,GIANTS,WD/C,876,8,109.5
120000,PROUD,Maddy,Swifts,C/WA,997,8,124.63
70000,RAVAILLION,Kim,Firebirds,C,641,8,80.13
55000,SAMASON,Rahni,Vixens,GA/GS ,,,
85000,SCHERIAN,Laura,Lightning,C/WA,646,8,80.75
60000,SIMMONS,Verity,Fever,C/WA,532,8,66.5
55000,SIMPSON,Gabi,Firebirds,WD,482,8,60.25
30000,SINGLETON,Kelly,Magpies,GA,117,5,23.4
30000,SLIGAR,Amy,GIANTS,WD/C,82,2,41
35000,SMITH,Allie,Swifts,GD/WD,284,7,40.57
155000,STERLING,Shamera,Thunderbirds,GK,1344,8,168
65000,STOWER,Mia,Firebirds,GA,457,7,65.29
135000,TEAGUE-NEELD,Alice,Fever,WA/GA,1204,8,150.5
70000,TURNER,Maddy,Swifts,GD/WD,555,8,69.38
30000,UNIE,Ashlee,Firebirds,GD/WD,105,3,35
30000,VEVE,Hulita,Firebirds,WD/C,65,1,65
90000,WALLACE,Sam,Swifts,GS ,,,
120000,WALLAM,Donnell,Firebirds,GS,944,8,118
95000,WARD,Jodi-Ann,Magpies,GD/WD,897,8,112.13
120000,WATSON,Liz,Vixens,C/WA,898,8,112.25
80000,WESTON,Jo,Vixens,GD/WD,600,7,85.71
55000,WILLIAMS,Tayla,Thunderbirds,C/WA,616,8,77
105000,WILSON,Latanya,Thunderbirds,GD/WD,855,8,106.88
125000,WOOD,Steph,Lightning,WA/GA,1106,8,138.25
