price,surname,firstName,team,position,points2023,played2023,avg2023
95000,AIKEN-GEORGE,Romelda,Swifts,GS,595,6,99.17
75000,ALLEN,Nyah,Magpies,GA ,,,
70000,ANSTISS,Jess,Fever,WD/C,464,6,77.33
80000,ARYANG,Sunday,Fever,GD/WD,522,6,87
95000,AUSTIN,Kiera,Vixens,WA/GA,607,6,101.17
60000,AUSTIN,Lucy,Thunderbirds,GS,164,4,41
80000,BAKEWELL-DORAN,Ruby,Firebirds,GD/WD,601,6,100.17
30000,BELL,Charlie,Lightning,GS,47,2,23.5
25000,BLACK,Ava,Lightning,WD/C,25,1,25
50000,BORGER,Kim,Vixens,GA/GS ,,,
70000,BRANDLEY,April,GIANTS,GD,483,6,80.5
75000,BRAZILL,Ash,Magpies,WD/C,460,6,76.67
105000,BROWNE,Kelsey,Magpies,WA,587,6,97.83
120000,BRUCE,Courtney,Fever,GK/GD,675,6,112.5
105000,CARDWELL,Eleanor,Thunderbirds,GA/GS,623,6,103.83
55000,CASSIDY,Mahalia,Lightning,WD/C,398,6,66.33
30000,COFFEY,Gabby,Vixens,GD,15,1,15
40000,COSH,Emma,Fever,WA/GA,38,2,19
95000,DEHANEY,Kadie-Ann,Lightning,GK,716,6,119.33
80000,DUNKLEY,Lara,Firebirds,WA,506,6,84.33
60000,DWAN,Tippah,Thunderbirds,GA,452,6,75.33
100000,DWYER,Sophie,GIANTS,GA/GS,605,6,100.83
30000,EAGLAND,Shannon,Lightning,GD/WD,76,4,19
65000,EDDY,Kate,Vixens,GD/WD,375,6,62.5
35000,ELLIS,Rudi,Fever,GK,153,4,38.25
30000,ERVIN,Ashleigh,Lightning,GK,76,3,25.33
30000,FAWNS,Sophie,Swifts,GA/GS,53,4,13.25
130000,FOWLER,Jhaniele,Fever,GS,832,6,138.67
30000,FRASER,Tayla,Swifts,WD/C,153,5,30.6
55000,GARBIN,Sophie,Magpies,GA/GS,403,6,67.17
50000,GARDNER,Macy,Firebirds,C/WA,323,5,64.6
75000,GARRETT,Matilda,Thunderbirds,GD,487,6,81.17
130000,GLASGOW,Sasha,Fever,GA/GS,807,6,134.5
75000,HADLEY,Paige,Swifts,C/WA,491,6,81.83
80000,HARTEN,Jo,GIANTS,GA/GS,388,5,77.6
95000,HAY,Maddie,GIANTS,WA,514,5,102.8
50000,HINCHLIFFE,Maddie,Magpies,WD/C,109,3,36.33
80000,HORJUS,Georgie,Thunderbirds,WA/GA,505,6,84.17
115000,HOUSBY,Helen,Swifts,GA/GS,784,6,130.67
45000,JENNER,Kim,Fever,GK/GD,253,5,50.6
65000,JOVIC,Molly,Magpies,C,364,6,60.67
70000,KAMO,Remi,Firebirds,GK/GD,505,6,84.17
80000,KLAU,Sarah,Swifts,GK/GD,506,6,84.33
110000,KOENEN,Cara,Lightning,GA/GS,711,6,118.5
100000,KUMWENDA,Mwai,Vixens,GA/GS,621,6,103.5
35000,LETHERBARROW,Matisse,GIANTS,GA/GS,148,2,74
40000,LEWIS,Olivia,Vixens,GK,249,5,49.8
70000,MANNIX,Emily,Vixens,GK,316,5,63.2
55000,MCDONELL,Matilda,GIANTS,GK,314,6,52.33
85000,MENTOR,Geva,Magpies,GK,569,6,94.83
50000,MILLER,Annie,Lightning,C/WA,415,6,69.17
60000,MOLONEY,Kate,Vixens,WD/C,410,6,68.33
40000,MOORE,Emily,Firebirds,GA/GS,277,5,55.4
30000,MOORE,Lauren,GIANTS,GD/WD,143,4,35.75
60000,MUNDY,Hannah,Vixens,C/WA,252,4,63
45000,NANKIVELL,Maisie,Thunderbirds,C/WA,111,3,37
100000,NELSON,Shimona,Magpies,GS,675,6,112.5
50000,NEWTON,Jacqui,Magpies,GK/GD,87,2,43.5
40000,O'SHANNASSY,Teigan,Swifts,GK/GD,168,4,42
105000,PARMENTER,Amy,GIANTS,WD/C,606,6,101
55000,PETTY,Hannah,Thunderbirds,WD/C,185,4,46.25
100000,PRETORIUS,Karla,Lightning,GD,673,6,112.17
115000,PRICE,Jamie-Lee,GIANTS,WD/C,732,6,122
120000,PROUD,Maddy,Swifts,C/WA,709,6,118.17
75000,RAVAILLION,Kim,Firebirds,C,470,6,78.33
55000,SAMASON,Rahni,Vixens,GA/GS ,,,
65000,SCHERIAN,Laura,Lightning,C/WA,441,6,73.5
70000,SIMMONS,Verity,Fever,C/WA,457,6,76.17
65000,SIMPSON,Gabi,Firebirds,WD,358,6,59.67
30000,SINGLETON,Kelly,Magpies,GA,71,3,23.67
30000,SLIGAR,Amy,GIANTS,WD/C,82,2,41
40000,SMITH,Allie,Swifts,GD/WD,263,6,43.83
155000,STERLING,Shamera,Thunderbirds,GK,1025,6,170.83
65000,STOWER,Mia,Firebirds,GA,403,6,67.17
140000,TEAGUE-NEELD,Alice,Fever,WA/GA,860,6,143.33
60000,TURNER,Maddy,Swifts,GD/WD,343,6,57.17
30000,UNIE,Ashlee,Firebirds,GD/WD,90,2,45
90000,WALLACE,Sam,Swifts,GS ,,,
110000,WALLAM,Donnell,Firebirds,GS,687,6,114.5
105000,WARD,Jodi-Ann,Magpies,GD/WD,745,6,124.17
105000,WATSON,Liz,Vixens,C/WA,617,6,102.83
90000,WESTON,Jo,Vixens,GD/WD,452,5,90.4
75000,WILLIAMS,Tayla,Thunderbirds,C/WA,535,6,89.17
105000,WILSON,Latanya,Thunderbirds,GD/WD,661,6,110.17
125000,WOOD,Steph,Lightning,WA/GA,819,6,136.5
