price,surname,firstName,team,position,,,Budget surplus,5000,,TRADED,,,,,,SIGNED
135000,FOWLER,Jhaniele,Fever,GS,,,,,,,,,,,,
125000,WOOD,Steph,Lightning,WA/GA,,,,,,,,,,,,
135000,TEAGUE-NEELD,Alice,Fever,WA/GA,,,,,,,,,,,,
120000,WATSON,Liz,Vixens,C/WA,,,,,,,,,,,,
105000,WARD,Jodi-Ann,Magpies,GD/WD,,,,,,,,,,,,
90000,KAMO,Remi,Firebirds,GK/GD,,,,,,,,,,,,
160000,STERLING,Shamera,Thunderbirds,GK,,,,,,,,,,,,
45000,STOWER,Mia,Firebirds,GA,,,,,,,,,,,,
45000,MILLER,Annie,Lightning,C/WA,,,,,,,,,,,,
25000,IONGI,Kelea,Swifts,GK/GD,,,,,,,,,,,,
